,Label,candidate,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question
231,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
232,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
233,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
234,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
235,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
236,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
237,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
238,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
239,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
240,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
241,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
242,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
243,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
244,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
245,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
246,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
247,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
248,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
249,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
250,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
251,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
252,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
253,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
254,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
255,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
256,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
257,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
258,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
259,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
260,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
261,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
262,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
263,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
264,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
265,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
266,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
267,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
268,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
269,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
270,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
271,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
272,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
273,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
274,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
275,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
276,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
277,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
278,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
279,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
280,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
281,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
282,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
283,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
284,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
285,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
286,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
287,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
288,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
